seq_no=158,	ch0= 975, ch1=   4, ch2=1457, ch3= 833, ch4=   0, ch5= 950, ts=1712137735370362,	delta=1053,
seq_no=159,	ch0= 780, ch1=  53, ch2=1605, ch3= 661, ch4=  10, ch5=1065, ts=1712137735371034,	delta=672,
seq_no=160,	ch0= 545, ch1= 219, ch2=1715, ch3= 458, ch4=  93, ch5=1148, ts=1712137735371852,	delta=818,
seq_no=161,	ch0= 371, ch1= 249, ch2=1728, ch3= 336, ch4= 295, ch5=1137, ts=1712137735372682,	delta=830,
seq_no=162,	ch0= 189, ch1= 602, ch2=1728, ch3= 188, ch4= 356, ch5=1177, ts=1712137735373534,	delta=852,
seq_no=163,	ch0=  56, ch1= 773, ch2=1629, ch3= 106, ch4= 525, ch5=1120, ts=1712137735374369,	delta=835,
seq_no=164,	ch0=   0, ch1= 989, ch2=1489, ch3=  21, ch4= 677, ch5=1028, ts=1712137735375207,	delta=838,
seq_no=165,	ch0=   0, ch1=1186, ch2=1308, ch3=   0, ch4= 817, ch5= 907, ts=1712137735376048,	delta=841,
seq_no=166,	ch0=   0, ch1=1356, ch2=1088, ch3=   0, ch4= 936, ch5= 766, ts=1712137735376891,	delta=843,
seq_no=167,	ch0=  54, ch1=1496, ch2= 858, ch3=   0, ch4=1030, ch5= 610, ts=1712137735377741,	delta=850,
seq_no=168,	ch0= 146, ch1=1580, ch2= 614, ch3= 114, ch4=1082, ch5= 440, ts=1712137735378575,	delta=834,
seq_no=169,	ch0= 372, ch1=1604, ch2= 381, ch3= 195, ch4=1115, ch5= 277, ts=1712137735379415,	delta=840,
seq_no=170,	ch0= 498, ch1=1576, ch2= 218, ch3= 404, ch4=1106, ch5= 167, ts=1712137735380259,	delta=844,
seq_no=171,	ch0= 751, ch1=1499, ch2=  53, ch3= 519, ch4=1063, ch5=  89, ts=1712137735381102,	delta=843,
seq_no=172,	ch0= 975, ch1=1355, ch2=   0, ch3= 760, ch4= 952, ch5=   5, ts=1712137735381954,	delta=852,
seq_no=173,	ch0=1165, ch1=1182, ch2=   0, ch3= 847, ch4= 848, ch5=  73, ts=1712137735382787,	delta=833,
seq_no=174,	ch0=1440, ch1= 968, ch2=   0, ch3= 984, ch4= 666, ch5=   0, ts=1712137735383625,	delta=838,
seq_no=175,	ch0=1446, ch1= 794, ch2=  64, ch3=1086, ch4= 548, ch5=  17, ts=1712137735384469,	delta=844,
seq_no=176,	ch0=1528, ch1= 570, ch2= 224, ch3=1155, ch4= 395, ch5= 113, ts=1712137735385310,	delta=841,
seq_no=177,	ch0=1560, ch1= 365, ch2= 400, ch3=1200, ch4= 253, ch5= 236, ts=1712137735386160,	delta=850,
seq_no=178,	ch0=1526, ch1= 207, ch2= 631, ch3=1209, ch4= 138, ch5= 392, ts=1712137735387005,	delta=845,
seq_no=179,	ch0=1431, ch1=  54, ch2= 857, ch3=1165, ch4=  31, ch5= 551, ts=1712137735387840,	delta=835,
seq_no=180,	ch0=1307, ch1=   0, ch2=1103, ch3=1088, ch4=   0, ch5= 706, ts=1712137735388683,	delta=843,
seq_no=181,	ch0=1140, ch1=   5, ch2=1303, ch3= 957, ch4=   0, ch5= 861, ts=1712137735389534,	delta=851,
seq_no=182,	ch0= 940, ch1=   0, ch2=1472, ch3= 819, ch4=   2, ch5= 984, ts=1712137735390368,	delta=834,
seq_no=183,	ch0= 730, ch1=  70, ch2=1638, ch3= 633, ch4=  26, ch5=1078, ts=1712137735391212,	delta=844,
seq_no=184,	ch0= 546, ch1= 282, ch2=1706, ch3= 509, ch4= 130, ch5=1110, ts=1712137735392051,	delta=839,
seq_no=185,	ch0= 301, ch1= 382, ch2=1734, ch3= 269, ch4= 239, ch5=1178, ts=1712137735392894,	delta=843,
seq_no=186,	ch0= 192, ch1= 663, ch2=1700, ch3= 206, ch4= 399, ch5=1143, ts=1712137735393749,	delta=855,
seq_no=187,	ch0=  45, ch1= 816, ch2=1607, ch3=  84, ch4= 558, ch5=1114, ts=1712137735394580,	delta=831,
seq_no=188,	ch0=   0, ch1=1029, ch2=1460, ch3=   6, ch4= 706, ch5=1024, ts=1712137735395423,	delta=843,
seq_no=189,	ch0=   0, ch1=1206, ch2=1265, ch3=   0, ch4= 846, ch5= 896, ts=1712137735396318,	delta=895,
seq_no=190,	ch0=   0, ch1=1376, ch2=1058, ch3=   0, ch4= 961, ch5= 733, ts=1712137735397111,	delta=793,
seq_no=191,	ch0=  68, ch1=1506, ch2= 826, ch3=   3, ch4=1048, ch5= 578, ts=1712137735397962,	delta=851,
seq_no=192,	ch0= 200, ch1=1584, ch2= 551, ch3=  97, ch4=1104, ch5= 487, ts=1712137735398793,	delta=831,
seq_no=193,	ch0= 448, ch1=1601, ch2= 378, ch3= 226, ch4=1106, ch5= 267, ts=1712137735399637,	delta=844,
seq_no=194,	ch0= 576, ch1=1582, ch2= 162, ch3= 390, ch4=1104, ch5= 225, ts=1712137735400477,	delta=840,
seq_no=195,	ch0= 847, ch1=1491, ch2=  57, ch3= 552, ch4=1032, ch5=  57, ts=1712137735401318,	delta=841,
seq_no=196,	ch0= 977, ch1=1359, ch2=   0, ch3= 719, ch4= 946, ch5=  85, ts=1712137735402165,	delta=847,
seq_no=197,	ch0=1175, ch1=1147, ch2=   0, ch3= 864, ch4= 766, ch5=   0, ts=1712137735403007,	delta=842,
seq_no=198,	ch0=1330, ch1= 980, ch2=  82, ch3= 992, ch4= 704, ch5=   0, ts=1712137735403885,	delta=878,
seq_no=199,	ch0=1461, ch1= 767, ch2=  92, ch3=1097, ch4= 527, ch5=  22, ts=1712137735404706,	delta=821,
seq_no=200,	ch0=1534, ch1= 541, ch2= 239, ch3=1168, ch4= 369, ch5= 112, ts=1712137735405550,	delta=844,
seq_no=201,	ch0=1555, ch1= 342, ch2= 448, ch3=1205, ch4= 232, ch5= 256, ts=1712137735406374,	delta=824,
seq_no=202,	ch0=1502, ch1= 172, ch2= 659, ch3=1216, ch4= 117, ch5= 416, ts=1712137735407211,	delta=837,
seq_no=203,	ch0=1411, ch1=  46, ch2= 901, ch3=1170, ch4=  32, ch5= 576, ts=1712137735408055,	delta=844,
seq_no=204,	ch0=1266, ch1=   1, ch2=1123, ch3=1072, ch4=   0, ch5= 737, ts=1712137735408895,	delta=840,
seq_no=205,	ch0=1105, ch1=   2, ch2=1328, ch3= 940, ch4=   0, ch5= 868, ts=1712137735409752,	delta=857,
seq_no=206,	ch0= 887, ch1=  10, ch2=1512, ch3= 762, ch4=   0, ch5= 992, ts=1712137735410593,	delta=841,
seq_no=207,	ch0= 687, ch1= 201, ch2=1634, ch3= 616, ch4=  29, ch5=1021, ts=1712137735411429,	delta=836,
