seq_no=176,	ch0=2292, ch1=2299, ch2=   4, ch3=  86, ch4= 387, ch5=  82, ts=1714037838438525,	delta=841,
seq_no=177,	ch0=1907, ch1=2496, ch2=  20, ch3=  44, ch4= 381, ch5= 147, ts=1714037838439376,	delta=851,
seq_no=178,	ch0=1504, ch1=2528, ch2=  21, ch3=  18, ch4= 352, ch5= 321, ts=1714037838440214,	delta=838,
seq_no=179,	ch0=1091, ch1=2552, ch2= 362, ch3=   0, ch4= 339, ch5= 255, ts=1714037838441058,	delta=844,
seq_no=180,	ch0= 764, ch1=2552, ch2= 747, ch3=   2, ch4= 252, ch5= 308, ts=1714037838441898,	delta=840,
seq_no=181,	ch0= 338, ch1=2555, ch2=1188, ch3=   0, ch4= 214, ch5= 344, ts=1714037838442749,	delta=851,
seq_no=182,	ch0=  64, ch1=2520, ch2=1568, ch3=  24, ch4= 144, ch5= 466, ts=1714037838443585,	delta=836,
seq_no=183,	ch0=  17, ch1=2488, ch2=2088, ch3=  67, ch4= 101, ch5= 360, ts=1714037838444424,	delta=839,
seq_no=184,	ch0=  77, ch1=2325, ch2=2553, ch3= 106, ch4=  19, ch5= 387, ts=1714037838445268,	delta=844,
seq_no=185,	ch0=   0, ch1=1944, ch2=2670, ch3= 179, ch4=  11, ch5= 380, ts=1714037838446109,	delta=841,
seq_no=186,	ch0=  72, ch1=1525, ch2=2703, ch3= 247, ch4=   0, ch5= 348, ts=1714037838446958,	delta=849,
seq_no=187,	ch0= 339, ch1=1090, ch2=2723, ch3= 310, ch4=   0, ch5= 324, ts=1714037838447796,	delta=838,
seq_no=188,	ch0= 650, ch1= 698, ch2=2734, ch3= 362, ch4=   8, ch5= 271, ts=1714037838448634,	delta=838,
seq_no=189,	ch0=1054, ch1= 353, ch2=2726, ch3= 396, ch4=   0, ch5= 216, ts=1714037838449475,	delta=841,
seq_no=190,	ch0=1447, ch1=  58, ch2=2712, ch3= 425, ch4=   8, ch5= 163, ts=1714037838450318,	delta=843,
seq_no=191,	ch0=1879, ch1=  10, ch2=2664, ch3= 456, ch4=  27, ch5=  75, ts=1714037838451166,	delta=848,
seq_no=192,	ch0=2255, ch1=   0, ch2=2510, ch3= 448, ch4=  98, ch5=  49, ts=1714037838452004,	delta=838,
seq_no=193,	ch0=2326, ch1=  13, ch2=2063, ch3= 479, ch4= 140, ch5=  37, ts=1714037838452848,	delta=844,
seq_no=194,	ch0=2436, ch1= 124, ch2=1624, ch3= 402, ch4= 218, ch5=   0, ts=1714037838453688,	delta=840,
seq_no=195,	ch0=2482, ch1= 403, ch2=1090, ch3= 377, ch4= 298, ch5=  47, ts=1714037838454529,	delta=841,
seq_no=196,	ch0=2461, ch1= 693, ch2= 710, ch3= 321, ch4= 356, ch5=   0, ts=1714037838455389,	delta=860,
seq_no=197,	ch0=2463, ch1=1149, ch2= 338, ch3= 261, ch4= 342, ch5=   1, ts=1714037838456221,	delta=832,
seq_no=198,	ch0=2435, ch1=1571, ch2=  49, ch3= 187, ch4= 366, ch5=  20, ts=1714037838457108,	delta=887,
seq_no=199,	ch0=2396, ch1=1999, ch2=   0, ch3= 128, ch4= 381, ch5=  50, ts=1714037838457918,	delta=810,
seq_no=200,	ch0=2196, ch1=2390, ch2=   0, ch3=  67, ch4= 389, ch5= 102, ts=1714037838458768,	delta=850,
seq_no=201,	ch0=1807, ch1=2501, ch2=  20, ch3=  27, ch4= 358, ch5= 163, ts=1714037838459589,	delta=821,
seq_no=202,	ch0=1390, ch1=2540, ch2= 141, ch3=   2, ch4= 335, ch5= 218, ts=1714037838460436,	delta=847,
seq_no=203,	ch0= 984, ch1=2550, ch2= 429, ch3=   0, ch4= 322, ch5= 320, ts=1714037838461272,	delta=836,
seq_no=204,	ch0= 602, ch1=2553, ch2= 836, ch3=   4, ch4= 299, ch5= 320, ts=1714037838462111,	delta=839,
seq_no=205,	ch0= 192, ch1=2548, ch2=1292, ch3=  49, ch4= 185, ch5= 383, ts=1714037838462964,	delta=853,
seq_no=206,	ch0=   5, ch1=2496, ch2=1856, ch3=  20, ch4= 138, ch5= 371, ts=1714037838463787,	delta=823,
seq_no=207,	ch0=  21, ch1=2483, ch2=2175, ch3=  66, ch4=  69, ch5= 310, ts=1714037838464631,	delta=844,
