seq_no=145,	ch0= 549, ch1=   0, ch2= 641, ch3= 549, ch4= 111, ch5=  82, ts=1714038040106482,	delta=841,
seq_no=146,	ch0= 628, ch1=   0, ch2= 450, ch3= 546, ch4= 178, ch5= 130, ts=1714038040107332,	delta=850,
seq_no=147,	ch0= 686, ch1= 134, ch2= 402, ch3= 534, ch4= 274, ch5=   0, ts=1714038040108165,	delta=833,
seq_no=148,	ch0= 753, ch1=  50, ch2= 289, ch3= 460, ch4= 264, ch5=   0, ts=1714038040109007,	delta=842,
seq_no=149,	ch0= 756, ch1= 169, ch2= 192, ch3= 402, ch4= 386, ch5=   0, ts=1714038040109848,	delta=841,
seq_no=150,	ch0= 746, ch1= 258, ch2=  96, ch3= 326, ch4= 426, ch5=   0, ts=1714038040110700,	delta=852,
seq_no=151,	ch0= 706, ch1= 378, ch2=  16, ch3= 237, ch4= 467, ch5=  18, ts=1714038040111535,	delta=835,
seq_no=152,	ch0= 641, ch1= 483, ch2=   0, ch3= 160, ch4= 483, ch5=  74, ts=1714038040112375,	delta=840,
seq_no=153,	ch0= 563, ch1= 588, ch2=   0, ch3=  94, ch4= 480, ch5= 136, ts=1714038040113215,	delta=840,
seq_no=154,	ch0= 441, ch1= 669, ch2=   0, ch3=  81, ch4= 468, ch5= 201, ts=1714038040114058,	delta=843,
seq_no=155,	ch0= 362, ch1= 739, ch2= 109, ch3=   4, ch4= 431, ch5= 278, ts=1714038040114911,	delta=853,
seq_no=156,	ch0= 257, ch1= 775, ch2=  85, ch3=   0, ch4= 390, ch5= 392, ts=1714038040115745,	delta=834,
seq_no=157,	ch0= 157, ch1= 745, ch2= 207, ch3=   0, ch4= 388, ch5= 390, ts=1714038040116586,	delta=841,
seq_no=158,	ch0= 160, ch1= 753, ch2= 357, ch3=   0, ch4= 229, ch5= 452, ts=1714038040117654,	delta=1068,
seq_no=159,	ch0=   0, ch1= 709, ch2= 415, ch3=   0, ch4= 180, ch5= 467, ts=1714038040118319,	delta=665,
seq_no=160,	ch0=   0, ch1= 657, ch2= 610, ch3=  64, ch4= 157, ch5= 505, ts=1714038040119146,	delta=827,
seq_no=161,	ch0=   0, ch1= 569, ch2= 644, ch3= 137, ch4=  67, ch5= 502, ts=1714038040119961,	delta=815,
seq_no=162,	ch0=   0, ch1= 480, ch2= 729, ch3= 207, ch4=  23, ch5= 489, ts=1714038040120800,	delta=839,
