seq_no=222,	ch0=1923, ch1=2512, ch2=  14, ch3=1871, ch4=2074, ch5=  18, ts=1712137831547566,	delta=840,
seq_no=223,	ch0=2204, ch1=2408, ch2=   0, ch3=2152, ch4=1771, ch5=   8, ts=1712137831548407,	delta=841,
seq_no=224,	ch0=2403, ch1=2023, ch2=   3, ch3=2313, ch4=1433, ch5=   4, ts=1712137831549250,	delta=843,
seq_no=225,	ch0=2442, ch1=1600, ch2=  64, ch3=2359, ch4=1126, ch5= 248, ts=1712137831550102,	delta=852,
seq_no=226,	ch0=2470, ch1=1172, ch2= 349, ch3=2383, ch4= 800, ch5= 587, ts=1712137831550928,	delta=826,
seq_no=227,	ch0=2474, ch1= 752, ch2= 704, ch3=2400, ch4= 530, ch5= 965, ts=1712137831551775,	delta=847,
seq_no=228,	ch0=2472, ch1= 392, ch2=1132, ch3=2392, ch4= 267, ch5=1319, ts=1712137831552617,	delta=842,
seq_no=229,	ch0=2446, ch1= 138, ch2=1600, ch3=2353, ch4=  99, ch5=1633, ts=1712137831553787,	delta=1170,
seq_no=230,	ch0=2412, ch1=  29, ch2=2051, ch3=2278, ch4=   0, ch5=1938, ts=1712137831554338,	delta=551,
seq_no=231,	ch0=2273, ch1=  18, ch2=2502, ch3=1883, ch4=   0, ch5=2227, ts=1712137831555162,	delta=824,
seq_no=232,	ch0=1881, ch1=   0, ch2=2666, ch3=1498, ch4=  66, ch5=2411, ts=1712137831556000,	delta=838,
seq_no=233,	ch0=1463, ch1= 129, ch2=2716, ch3=1159, ch4= 245, ch5=2481, ts=1712137831556843,	delta=843,
