seq_no=114,	ch0=2432, ch1=1564, ch2=  64, ch3= 617, ch4=1219, ch5=  76, ts=1714037760991183,	delta=855,
seq_no=115,	ch0=2383, ch1=1987, ch2=   2, ch3= 454, ch4=1262, ch5= 186, ts=1714037760992009,	delta=826,
seq_no=116,	ch0=2290, ch1=2366, ch2=   2, ch3= 285, ch4=1243, ch5= 342, ts=1714037760992849,	delta=840,
seq_no=117,	ch0=1798, ch1=2502, ch2=   9, ch3= 122, ch4=1255, ch5= 525, ts=1714037760993695,	delta=846,
seq_no=118,	ch0=1411, ch1=2520, ch2=  64, ch3=  73, ch4=1164, ch5= 832, ts=1714037760994538,	delta=843,
seq_no=119,	ch0=1014, ch1=2552, ch2= 440, ch3=  11, ch4=1048, ch5= 865, ts=1714037760995600,	delta=1062,
seq_no=120,	ch0= 621, ch1=2566, ch2= 825, ch3=   4, ch4= 893, ch5=1043, ts=1714037760996271,	delta=671,
seq_no=121,	ch0= 298, ch1=2552, ch2=1272, ch3=   9, ch4= 707, ch5=1141, ts=1714037760997084,	delta=813,
seq_no=122,	ch0=  38, ch1=2528, ch2=1742, ch3=  54, ch4= 514, ch5=1219, ts=1714037760997913,	delta=829,
seq_no=123,	ch0=   0, ch1=2435, ch2=2187, ch3= 186, ch4= 339, ch5=1259, ts=1714037760998768,	delta=855,
seq_no=124,	ch0=   0, ch1=2264, ch2=2595, ch3= 370, ch4= 220, ch5=1283, ts=1714037760999595,	delta=827,
seq_no=125,	ch0=   0, ch1=1868, ch2=2678, ch3= 576, ch4= 111, ch5=1248, ts=1714037761000431,	delta=836,
seq_no=126,	ch0= 123, ch1=1432, ch2=2703, ch3= 767, ch4=  26, ch5=1223, ts=1714037761001276,	delta=845,
seq_no=127,	ch0= 398, ch1= 976, ch2=2719, ch3= 929, ch4=  31, ch5=1043, ts=1714037761002121,	delta=845,
seq_no=128,	ch0= 785, ch1= 622, ch2=2705, ch3=1156, ch4=   0, ch5= 871, ts=1714037761002975,	delta=854,
seq_no=129,	ch0=1135, ch1= 332, ch2=2716, ch3=1196, ch4=   2, ch5= 684, ts=1714037761003808,	delta=833,
seq_no=130,	ch0=1562, ch1=  32, ch2=2704, ch3=1308, ch4= 106, ch5= 563, ts=1714037761004647,	delta=839,
seq_no=131,	ch0=1961, ch1=   2, ch2=2649, ch3=1359, ch4= 224, ch5= 348, ts=1714037761005489,	delta=842,
seq_no=132,	ch0=2335, ch1=  12, ch2=2412, ch3=1392, ch4= 389, ch5= 214, ts=1714037761006332,	delta=843,
seq_no=133,	ch0=2412, ch1=  20, ch2=1964, ch3=1376, ch4= 599, ch5= 102, ts=1714037761007182,	delta=850,
seq_no=134,	ch0=2441, ch1= 172, ch2=1504, ch3=1302, ch4= 774, ch5=  42, ts=1714037761008014,	delta=832,
seq_no=135,	ch0=2461, ch1= 477, ch2=1053, ch3=1161, ch4= 919, ch5=  13, ts=1714037761008858,	delta=844,
seq_no=136,	ch0=2472, ch1= 839, ch2= 634, ch3= 974, ch4=1044, ch5=  11, ts=1714037761009700,	delta=842,
seq_no=137,	ch0=2452, ch1=1249, ch2= 279, ch3= 771, ch4=1166, ch5=  10, ts=1714037761010543,	delta=843,
seq_no=138,	ch0=2412, ch1=1686, ch2=   0, ch3= 560, ch4=1238, ch5=  92, ts=1714037761011394,	delta=851,
seq_no=139,	ch0=2371, ch1=2108, ch2=   2, ch3= 397, ch4=1256, ch5= 206, ts=1714037761012235,	delta=841,
seq_no=140,	ch0=2061, ch1=2432, ch2=  44, ch3= 282, ch4=1269, ch5= 448, ts=1714037761013073,	delta=838,
seq_no=141,	ch0=1712, ch1=2543, ch2=  68, ch3= 138, ch4=1287, ch5= 600, ts=1714037761013914,	delta=841,
seq_no=142,	ch0=1307, ch1=2538, ch2= 192, ch3=  77, ch4=1171, ch5= 738, ts=1714037761014765,	delta=851,
seq_no=143,	ch0= 906, ch1=2556, ch2= 534, ch3=   0, ch4=1011, ch5= 933, ts=1714037761015602,	delta=837,
seq_no=144,	ch0= 527, ch1=2555, ch2= 938, ch3=  12, ch4= 839, ch5=1054, ts=1714037761016443,	delta=841,
seq_no=145,	ch0= 202, ch1=2544, ch2=1404, ch3=   4, ch4= 640, ch5=1163, ts=1714037761017285,	delta=842,
seq_no=146,	ch0=   0, ch1=2476, ch2=1871, ch3=  83, ch4= 465, ch5=1240, ts=1714037761018125,	delta=840,
seq_no=147,	ch0=   0, ch1=2460, ch2=2288, ch3= 217, ch4= 314, ch5=1275, ts=1714037761018980,	delta=855,
seq_no=148,	ch0=   0, ch1=2144, ch2=2634, ch3= 402, ch4= 178, ch5=1288, ts=1714037761019816,	delta=836,
seq_no=149,	ch0=   0, ch1=1743, ch2=2672, ch3= 632, ch4=  81, ch5=1280, ts=1714037761020654,	delta=838,
