seq_no=129,	ch0= 826, ch1= 569, ch2=2732, ch3=1841, ch4=   1, ch5=1432, ts=1714037646358159,	delta=841,
seq_no=130,	ch0=1216, ch1= 249, ch2=2716, ch3=2047, ch4=   8, ch5=1112, ts=1714037646359007,	delta=848,
seq_no=131,	ch0=1636, ch1=   2, ch2=2693, ch3=2224, ch4= 188, ch5= 816, ts=1714037646359844,	delta=837,
seq_no=132,	ch0=2028, ch1=   2, ch2=2636, ch3=2285, ch4= 423, ch5= 600, ts=1714037646360687,	delta=843,
seq_no=133,	ch0=2249, ch1=  24, ch2=2335, ch3=2309, ch4= 713, ch5= 437, ts=1714037646361529,	delta=842,
seq_no=134,	ch0=2424, ch1=   6, ch2=1991, ch3=2297, ch4=1065, ch5= 234, ts=1714037646362369,	delta=840,
seq_no=135,	ch0=2433, ch1= 315, ch2=1408, ch3=2191, ch4=1340, ch5=  28, ts=1714037646363222,	delta=853,
seq_no=136,	ch0=2484, ch1= 533, ch2= 981, ch3=1913, ch4=1533, ch5=   6, ts=1714037646364059,	delta=837,
seq_no=137,	ch0=2476, ch1= 906, ch2= 561, ch3=1582, ch4=1750, ch5=  21, ts=1714037646364900,	delta=841,
seq_no=138,	ch0=2447, ch1=1323, ch2= 220, ch3=1216, ch4=1916, ch5=  23, ts=1714037646365743,	delta=843,
seq_no=139,	ch0=2428, ch1=1761, ch2=   0, ch3= 921, ch4=2043, ch5= 204, ts=1714037646366625,	delta=882,
seq_no=140,	ch0=2342, ch1=2160, ch2=   5, ch3= 683, ch4=2128, ch5= 461, ts=1714037646367431,	delta=806,
seq_no=141,	ch0=2046, ch1=2463, ch2=   9, ch3= 476, ch4=2155, ch5= 784, ts=1714037646368332,	delta=901,
seq_no=142,	ch0=1648, ch1=2531, ch2=  14, ch3= 277, ch4=2071, ch5=1089, ts=1714037646369124,	delta=792,
seq_no=143,	ch0=1321, ch1=2544, ch2= 261, ch3= 105, ch4=1864, ch5=1374, ts=1714037646369964,	delta=840,
seq_no=144,	ch0= 833, ch1=2560, ch2= 600, ch3=   0, ch4=1639, ch5=1606, ts=1714037646370813,	delta=849,
seq_no=145,	ch0= 494, ch1=2569, ch2= 985, ch3=  13, ch4=1344, ch5=1852, ts=1714037646371647,	delta=834,
seq_no=146,	ch0= 155, ch1=2540, ch2=1479, ch3=  21, ch4=1035, ch5=1977, ts=1714037646372492,	delta=845,
seq_no=147,	ch0=   0, ch1=2525, ch2=1968, ch3= 195, ch4= 741, ch5=2163, ts=1714037646373329,	delta=837,
seq_no=148,	ch0=   0, ch1=2438, ch2=2368, ch3= 448, ch4= 529, ch5=2191, ts=1714037646374173,	delta=844,
seq_no=149,	ch0=   0, ch1=2075, ch2=2648, ch3= 810, ch4= 320, ch5=2195, ts=1714037646375023,	delta=850,
seq_no=150,	ch0=   0, ch1=1651, ch2=2691, ch3=1166, ch4= 170, ch5=2123, ts=1714037646375857,	delta=834,
seq_no=151,	ch0= 250, ch1=1240, ch2=2722, ch3=1446, ch4=  38, ch5=1920, ts=1714037646376704,	delta=847,
seq_no=152,	ch0= 553, ch1= 839, ch2=2739, ch3=1670, ch4=  10, ch5=1668, ts=1714037646377544,	delta=840,
seq_no=153,	ch0= 942, ch1= 469, ch2=2724, ch3=1908, ch4=  12, ch5=1334, ts=1714037646378387,	delta=843,
seq_no=154,	ch0=1337, ch1= 154, ch2=2708, ch3=2103, ch4=  29, ch5=1028, ts=1714037646379239,	delta=852,
seq_no=155,	ch0=1731, ch1=  18, ch2=2680, ch3=2240, ch4= 249, ch5= 766, ts=1714037646380074,	delta=835,
seq_no=156,	ch0=2141, ch1=  12, ch2=2591, ch3=2292, ch4= 501, ch5= 532, ts=1714037646380917,	delta=843,
seq_no=157,	ch0=2389, ch1=   0, ch2=2211, ch3=2325, ch4= 865, ch5= 334, ts=1714037646381761,	delta=844,
seq_no=158,	ch0=2432, ch1=  65, ch2=1774, ch3=2280, ch4=1135, ch5= 228, ts=1714037646382824,	delta=1063,
seq_no=159,	ch0=2461, ch1= 328, ch2=1349, ch3=2105, ch4=1424, ch5=  52, ts=1714037646383488,	delta=664,
seq_no=160,	ch0=2467, ch1= 626, ch2= 867, ch3=1838, ch4=1614, ch5=  19, ts=1714037646384300,	delta=812,
seq_no=161,	ch0=2460, ch1=1018, ch2= 455, ch3=1472, ch4=1799, ch5=  20, ts=1714037646385139,	delta=839,
seq_no=162,	ch0=2447, ch1=1442, ch2= 140, ch3=1142, ch4=1952, ch5=  64, ts=1714037646385979,	delta=840,
seq_no=163,	ch0=2412, ch1=1872, ch2=   6, ch3= 847, ch4=2076, ch5= 277, ts=1714037646386833,	delta=854,
seq_no=164,	ch0=2311, ch1=2255, ch2=   6, ch3= 630, ch4=2144, ch5= 533, ts=1714037646387661,	delta=828,
seq_no=165,	ch0=1894, ch1=2488, ch2=  22, ch3= 467, ch4=2136, ch5= 871, ts=1714037646388501,	delta=840,
seq_no=166,	ch0=1544, ch1=2525, ch2= 139, ch3= 231, ch4=2028, ch5=1189, ts=1714037646389345,	delta=844,
seq_no=167,	ch0=1120, ch1=2555, ch2= 352, ch3=  76, ch4=1819, ch5=1451, ts=1714037646390187,	delta=842,
seq_no=168,	ch0= 814, ch1=2558, ch2= 719, ch3=   0, ch4=1552, ch5=1663, ts=1714037646391043,	delta=856,
seq_no=169,	ch0= 352, ch1=2573, ch2=1171, ch3=   0, ch4=1238, ch5=1894, ts=1714037646391877,	delta=834,
seq_no=170,	ch0= 132, ch1=2553, ch2=1587, ch3=  39, ch4= 960, ch5=2070, ts=1714037646392717,	delta=840,
seq_no=171,	ch0=   0, ch1=2486, ch2=2060, ch3= 267, ch4= 733, ch5=2117, ts=1714037646393561,	delta=844,
seq_no=172,	ch0=   0, ch1=2368, ch2=2499, ch3= 543, ch4= 468, ch5=2200, ts=1714037646394403,	delta=842,
seq_no=173,	ch0=   0, ch1=1967, ch2=2656, ch3= 910, ch4= 281, ch5=2182, ts=1714037646395255,	delta=852,
seq_no=174,	ch0=  55, ch1=1552, ch2=2703, ch3=1245, ch4= 126, ch5=2068, ts=1714037646396090,	delta=835,
seq_no=175,	ch0= 323, ch1=1125, ch2=2719, ch3=1509, ch4=  12, ch5=1849, ts=1714037646396930,	delta=840,
seq_no=176,	ch0= 657, ch1= 736, ch2=2728, ch3=1736, ch4=   0, ch5=1576, ts=1714037646397774,	delta=844,
seq_no=177,	ch0=1032, ch1= 375, ch2=2680, ch3=1955, ch4=   6, ch5=1249, ts=1714037646398662,	delta=888,
seq_no=178,	ch0=1449, ch1=  77, ch2=2704, ch3=2144, ch4= 100, ch5= 940, ts=1714037646399456,	delta=794,
seq_no=179,	ch0=1851, ch1=   8, ch2=2664, ch3=2278, ch4= 308, ch5= 685, ts=1714037646400301,	delta=845,
seq_no=180,	ch0=2224, ch1=  21, ch2=2533, ch3=2287, ch4= 580, ch5= 488, ts=1714037646401138,	delta=837,
seq_no=181,	ch0=2425, ch1=  27, ch2=2047, ch3=2311, ch4= 935, ch5= 272, ts=1714037646401981,	delta=843,
seq_no=182,	ch0=2446, ch1=  74, ch2=1628, ch3=2267, ch4=1130, ch5= 125, ts=1714037646402963,	delta=982,
seq_no=183,	ch0=2461, ch1= 377, ch2=1203, ch3=2076, ch4=1452, ch5=  42, ts=1714037646403694,	delta=731,
seq_no=184,	ch0=2464, ch1= 724, ch2= 736, ch3=1747, ch4=1666, ch5=  18, ts=1714037646404524,	delta=830,
seq_no=185,	ch0=2455, ch1=1133, ch2= 353, ch3=1372, ch4=1847, ch5=  23, ts=1714037646405361,	delta=837,
seq_no=186,	ch0=2441, ch1=1564, ch2=  64, ch3=1048, ch4=2001, ch5= 107, ts=1714037646406203,	delta=842,
seq_no=187,	ch0=2392, ch1=1976, ch2=   0, ch3= 795, ch4=2092, ch5= 352, ts=1714037646407061,	delta=858,
seq_no=188,	ch0=2218, ch1=2371, ch2=  10, ch3= 564, ch4=2157, ch5= 630, ts=1714037646407889,	delta=828,
seq_no=189,	ch0=1827, ch1=2455, ch2=  19, ch3= 358, ch4=2178, ch5= 961, ts=1714037646408735,	delta=846,
seq_no=190,	ch0=1385, ch1=2535, ch2= 139, ch3= 232, ch4=1977, ch5=1257, ts=1714037646409574,	delta=839,
seq_no=191,	ch0=1017, ch1=2565, ch2= 481, ch3=  36, ch4=1761, ch5=1516, ts=1714037646410416,	delta=842,
seq_no=192,	ch0= 641, ch1=2557, ch2= 832, ch3=   9, ch4=1473, ch5=1712, ts=1714037646411270,	delta=854,
seq_no=193,	ch0= 375, ch1=2541, ch2=1319, ch3=   9, ch4=1120, ch5=1913, ts=1714037646412150,	delta=880,
seq_no=194,	ch0=  11, ch1=2563, ch2=1768, ch3=  52, ch4= 851, ch5=2072, ts=1714037646412955,	delta=805,
seq_no=195,	ch0=   0, ch1=2476, ch2=2136, ch3= 320, ch4= 635, ch5=2211, ts=1714037646413794,	delta=839,
seq_no=196,	ch0=   0, ch1=2260, ch2=2592, ch3= 641, ch4= 408, ch5=2204, ts=1714037646414642,	delta=848,
seq_no=197,	ch0=   0, ch1=1849, ch2=2681, ch3= 999, ch4= 234, ch5=2166, ts=1714037646415476,	delta=834,
seq_no=198,	ch0= 119, ch1=1420, ch2=2708, ch3=1328, ch4=  86, ch5=2012, ts=1714037646416359,	delta=883,
seq_no=199,	ch0= 404, ch1=1025, ch2=2717, ch3=1567, ch4=   0, ch5=1779, ts=1714037646417173,	delta=814,
seq_no=200,	ch0= 751, ch1= 643, ch2=2732, ch3=1796, ch4=  11, ch5=1491, ts=1714037646418011,	delta=838,
seq_no=201,	ch0=1148, ch1= 285, ch2=2715, ch3=2011, ch4=  15, ch5=1168, ts=1714037646418863,	delta=852,
seq_no=202,	ch0=1552, ch1=  36, ch2=2698, ch3=2182, ch4= 161, ch5= 875, ts=1714037646419692,	delta=829,
seq_no=203,	ch0=1951, ch1=  10, ch2=2641, ch3=2289, ch4= 382, ch5= 620, ts=1714037646420535,	delta=843,
seq_no=204,	ch0=2368, ch1=   0, ch2=2416, ch3=2304, ch4= 656, ch5= 411, ts=1714037646421375,	delta=840,
seq_no=205,	ch0=2421, ch1=  28, ch2=1956, ch3=2268, ch4= 998, ch5= 273, ts=1714037646422219,	delta=844,
seq_no=206,	ch0=2458, ch1= 183, ch2=1486, ch3=2210, ch4=1308, ch5= 154, ts=1714037646423061,	delta=842,
seq_no=207,	ch0=2465, ch1= 437, ch2=1060, ch3=1969, ch4=1556, ch5=   0, ts=1714037646423905,	delta=844,
