seq_no=177,	ch0=2462, ch1= 630, ch2= 858, ch3=  96, ch4=  21, ch5=  76, ts=1713173572484085,	delta=835,
seq_no=178,	ch0=2451, ch1= 285, ch2=1292, ch3=  89, ch4=  27, ch5=  73, ts=1713173572484925,	delta=840,
seq_no=179,	ch0=2441, ch1=  35, ch2=1757, ch3=  74, ch4=  10, ch5=  71, ts=1713173572485763,	delta=838,
seq_no=180,	ch0=2384, ch1=  11, ch2=2222, ch3=  65, ch4=   1, ch5=  73, ts=1713173572486651,	delta=888,
seq_no=181,	ch0=2215, ch1=   0, ch2=2649, ch3=  72, ch4=   0, ch5=  49, ts=1713173572487459,	delta=808,
seq_no=182,	ch0=1600, ch1=   9, ch2=2655, ch3= 149, ch4=  30, ch5=  70, ts=1713173572488299,	delta=840,
seq_no=183,	ch0=1261, ch1= 169, ch2=2727, ch3=  85, ch4=  37, ch5=  99, ts=1713173572489139,	delta=840,
seq_no=184,	ch0= 914, ch1= 463, ch2=2732, ch3=  38, ch4=  56, ch5=  64, ts=1713173572489978,	delta=839,
seq_no=185,	ch0= 548, ch1= 837, ch2=2727, ch3=  58, ch4=  64, ch5=  50, ts=1713173572490829,	delta=851,
seq_no=186,	ch0= 230, ch1=1251, ch2=2712, ch3=  57, ch4=  64, ch5=  38, ts=1713173572491663,	delta=834,
seq_no=187,	ch0=   0, ch1=1671, ch2=2692, ch3=  66, ch4=  66, ch5=  29, ts=1713173572492503,	delta=840,
seq_no=188,	ch0=   0, ch1=2086, ch2=2642, ch3=  56, ch4=  67, ch5=  21, ts=1713173572493344,	delta=841,
seq_no=189,	ch0=   0, ch1=2444, ch2=2343, ch3=  64, ch4=  68, ch5=  41, ts=1713173572494184,	delta=840,
seq_no=190,	ch0=   0, ch1=2511, ch2=1900, ch3=  82, ch4=  81, ch5=  53, ts=1713173572495037,	delta=853,
seq_no=191,	ch0= 169, ch1=2544, ch2=1447, ch3=  91, ch4=  64, ch5=   0, ts=1713173572495873,	delta=836,
seq_no=192,	ch0= 465, ch1=2556, ch2= 999, ch3= 101, ch4=  64, ch5=   4, ts=1713173572496722,	delta=849,
seq_no=193,	ch0= 832, ch1=2528, ch2= 576, ch3= 110, ch4= 125, ch5=   2, ts=1713173572497558,	delta=836,
seq_no=194,	ch0=1242, ch1=2552, ch2= 236, ch3=  85, ch4=   0, ch5=   5, ts=1713173572498399,	delta=841,
seq_no=195,	ch0=1747, ch1=2528, ch2=  35, ch3= 118, ch4=   0, ch5=   4, ts=1713173572499244,	delta=845,
seq_no=196,	ch0=2038, ch1=2472, ch2=  17, ch3=  92, ch4=  18, ch5=   4, ts=1713173572500081,	delta=837,
seq_no=197,	ch0=2366, ch1=2185, ch2=  12, ch3=  93, ch4=   0, ch5=  19, ts=1713173572500922,	delta=841,
seq_no=198,	ch0=2413, ch1=1772, ch2=   4, ch3=  85, ch4=   2, ch5=  41, ts=1713173572501797,	delta=875,
seq_no=199,	ch0=2450, ch1=1328, ch2= 231, ch3=  97, ch4=   5, ch5=  55, ts=1713173572502729,	delta=932,
seq_no=200,	ch0=2465, ch1= 909, ch2= 569, ch3= 101, ch4=   8, ch5=  64, ts=1713173572503477,	delta=748,
seq_no=201,	ch0=2461, ch1= 541, ch2= 971, ch3=  77, ch4=   6, ch5=  64, ts=1713173572504306,	delta=829,
seq_no=202,	ch0=2456, ch1= 224, ch2=1428, ch3=  76, ch4=  17, ch5=  79, ts=1713173572505141,	delta=835,
seq_no=203,	ch0=2424, ch1=   0, ch2=1850, ch3=  70, ch4=  18, ch5=  78, ts=1713173572505981,	delta=840,
seq_no=204,	ch0=2368, ch1=   6, ch2=2321, ch3=  64, ch4=  25, ch5=  70, ts=1713173572506832,	delta=851,
seq_no=205,	ch0=2083, ch1=  22, ch2=2598, ch3=  58, ch4=  48, ch5= 109, ts=1713173572507653,	delta=821,
seq_no=206,	ch0=1622, ch1=   0, ch2=2691, ch3=  65, ch4=  26, ch5=   0, ts=1713173572508496,	delta=843,
seq_no=207,	ch0=1231, ch1= 334, ch2=2716, ch3=  84, ch4=  68, ch5=  24, ts=1713173572509339,	delta=843,
