seq_no=197,	ch0=1528, ch1=1990, ch2=   0, ch3= 138, ch4= 924, ch5= 344, ts=1714036688086817,	delta=850,
seq_no=198,	ch0=1219, ch1=2211, ch2=  79, ch3=  64, ch4= 868, ch5= 481, ts=1714036688087699,	delta=882,
seq_no=199,	ch0= 897, ch1=2367, ch2= 292, ch3=   0, ch4= 792, ch5= 612, ts=1714036688088502,	delta=803,
seq_no=200,	ch0= 601, ch1=2407, ch2= 564, ch3=   0, ch4= 688, ch5= 719, ts=1714036688089341,	delta=839,
seq_no=201,	ch0= 298, ch1=2389, ch2= 881, ch3=  14, ch4= 535, ch5= 832, ts=1714036688090184,	delta=843,
seq_no=202,	ch0= 118, ch1=2286, ch2=1308, ch3=   5, ch4= 400, ch5= 877, ts=1714036688091036,	delta=852,
seq_no=203,	ch0=   0, ch1=2087, ch2=1556, ch3=  98, ch4= 270, ch5= 876, ts=1714036688091863,	delta=827,
seq_no=204,	ch0=   0, ch1=1798, ch2=1887, ch3= 219, ch4= 210, ch5= 926, ts=1714036688092704,	delta=841,
seq_no=205,	ch0=   0, ch1=1512, ch2=2151, ch3= 434, ch4=  77, ch5= 941, ts=1714036688093547,	delta=843,
seq_no=206,	ch0=  48, ch1=1253, ch2=2416, ch3= 480, ch4=  14, ch5= 865, ts=1714036688094388,	delta=841,
seq_no=207,	ch0= 273, ch1= 896, ch2=2497, ch3= 648, ch4=   0, ch5= 843, ts=1714036688095240,	delta=852,
