seq_no=168,	ch0=1540, ch1= 352, ch2= 403, ch3= 850, ch4= 805, ch5=   0, ts=1714038002847413,	delta=799,
seq_no=169,	ch0=1482, ch1= 568, ch2= 221, ch3= 693, ch4= 893, ch5=   0, ts=1714038002848249,	delta=836,
seq_no=170,	ch0=1424, ch1= 819, ch2=  69, ch3= 498, ch4= 975, ch5=  34, ts=1714038002849092,	delta=843,
seq_no=171,	ch0=1363, ch1=1023, ch2=   0, ch3= 377, ch4=1018, ch5=  53, ts=1714038002849933,	delta=841,
seq_no=172,	ch0=1148, ch1=1136, ch2=   0, ch3= 264, ch4=1073, ch5= 269, ts=1714038002850784,	delta=851,
seq_no=173,	ch0= 951, ch1=1376, ch2=   0, ch3= 129, ch4=1001, ch5= 437, ts=1714038002851616,	delta=832,
seq_no=174,	ch0= 749, ch1=1509, ch2=  71, ch3=  50, ch4= 933, ch5= 591, ts=1714038002852458,	delta=842,
seq_no=175,	ch0= 533, ch1=1576, ch2= 229, ch3=   0, ch4= 838, ch5= 725, ts=1714038002853301,	delta=843,
seq_no=176,	ch0= 352, ch1=1600, ch2= 418, ch3=   0, ch4= 704, ch5= 844, ts=1714038002854147,	delta=846,
seq_no=177,	ch0= 176, ch1=1578, ch2= 640, ch3=   0, ch4= 569, ch5= 943, ts=1714038002854996,	delta=849,
seq_no=178,	ch0=  36, ch1=1482, ch2= 870, ch3=  16, ch4= 402, ch5=1012, ts=1714038002855829,	delta=833,
seq_no=179,	ch0=   0, ch1=1338, ch2=1072, ch3= 144, ch4= 272, ch5=1092, ts=1714038002856669,	delta=840,
seq_no=180,	ch0=   0, ch1=1123, ch2=1307, ch3= 293, ch4= 226, ch5=1041, ts=1714038002857515,	delta=846,
seq_no=181,	ch0=  38, ch1= 950, ch2=1503, ch3= 448, ch4=  64, ch5=1034, ts=1714038002858358,	delta=843,
seq_no=182,	ch0=  33, ch1= 757, ch2=1633, ch3= 578, ch4=   5, ch5= 994, ts=1714038002859207,	delta=849,
seq_no=183,	ch0= 198, ch1= 520, ch2=1641, ch3= 754, ch4=   0, ch5= 939, ts=1714038002860043,	delta=836,
seq_no=184,	ch0= 378, ch1= 231, ch2=1728, ch3= 884, ch4=  56, ch5= 692, ts=1714038002860883,	delta=840,
seq_no=185,	ch0= 566, ch1= 180, ch2=1698, ch3= 999, ch4=   0, ch5= 566, ts=1714038002861724,	delta=841,
