seq_no=190,	ch0=1402, ch1= 864, ch2=  19, ch3= 320, ch4= 683, ch5=  57, ts=1714036229124971,	delta=829,
seq_no=191,	ch0=1258, ch1=1072, ch2=   0, ch3= 217, ch4= 690, ch5= 141, ts=1714036229125807,	delta=836,
seq_no=192,	ch0=1083, ch1=1263, ch2=   0, ch3= 128, ch4= 685, ch5= 239, ts=1714036229126659,	delta=852,
seq_no=193,	ch0= 875, ch1=1419, ch2=  13, ch3=  56, ch4= 667, ch5= 355, ts=1714036229127490,	delta=831,
seq_no=194,	ch0= 662, ch1=1529, ch2= 123, ch3=   2, ch4= 613, ch5= 461, ts=1714036229128327,	delta=837,
seq_no=195,	ch0= 462, ch1=1581, ch2= 287, ch3=   0, ch4= 535, ch5= 565, ts=1714036229129171,	delta=844,
seq_no=196,	ch0= 276, ch1=1607, ch2= 491, ch3=   0, ch4= 440, ch5= 656, ts=1714036229130011,	delta=840,
seq_no=197,	ch0= 139, ch1=1548, ch2= 717, ch3=   0, ch4= 338, ch5= 718, ts=1714036229130862,	delta=851,
seq_no=198,	ch0=   2, ch1=1430, ch2= 964, ch3=  49, ch4= 241, ch5= 753, ts=1714036229131743,	delta=881,
seq_no=199,	ch0=  38, ch1=1271, ch2=1207, ch3= 138, ch4= 122, ch5= 758, ts=1714036229132549,	delta=806,
seq_no=200,	ch0=   0, ch1=1112, ch2=1388, ch3= 209, ch4=  74, ch5= 787, ts=1714036229133389,	delta=840,
seq_no=201,	ch0=   0, ch1= 878, ch2=1465, ch3= 350, ch4=   4, ch5= 822, ts=1714036229134225,	delta=836,
seq_no=202,	ch0= 109, ch1= 668, ch2=1667, ch3= 472, ch4=   0, ch5= 677, ts=1714036229135081,	delta=856,
seq_no=203,	ch0= 264, ch1= 469, ch2=1728, ch3= 562, ch4=   0, ch5= 594, ts=1714036229135910,	delta=829,
seq_no=204,	ch0= 442, ch1= 284, ch2=1731, ch3= 644, ch4=   0, ch5= 492, ts=1714036229136750,	delta=840,
seq_no=205,	ch0= 652, ch1= 123, ch2=1667, ch3= 726, ch4=   2, ch5= 376, ts=1714036229137594,	delta=844,
seq_no=206,	ch0= 856, ch1=   1, ch2=1557, ch3= 773, ch4=  64, ch5= 266, ts=1714036229138435,	delta=841,
seq_no=207,	ch0=1045, ch1=   0, ch2=1379, ch3= 795, ch4= 138, ch5= 171, ts=1714036229139287,	delta=852,
