seq_no=179,	ch0= 839, ch1=2391, ch2= 341, ch3=   2, ch4=1156, ch5=1019, ts=1714036832474941,	delta=847,
seq_no=180,	ch0= 544, ch1=2431, ch2= 629, ch3=   0, ch4= 977, ch5=1184, ts=1714036832475772,	delta=831,
seq_no=181,	ch0= 296, ch1=2371, ch2= 960, ch3=   0, ch4= 776, ch5=1337, ts=1714036832476617,	delta=845,
seq_no=182,	ch0=  93, ch1=2240, ch2=1297, ch3=  45, ch4= 569, ch5=1417, ts=1714036832477456,	delta=839,
seq_no=183,	ch0=   0, ch1=2040, ch2=1649, ch3= 172, ch4= 405, ch5=1491, ts=1714036832478298,	delta=842,
seq_no=184,	ch0=   0, ch1=1784, ch2=1963, ch3= 390, ch4= 260, ch5=1511, ts=1714036832479152,	delta=854,
seq_no=185,	ch0=   0, ch1=1479, ch2=2235, ch3= 640, ch4= 133, ch5=1479, ts=1714036832479978,	delta=826,
seq_no=186,	ch0= 113, ch1=1153, ch2=2460, ch3= 853, ch4=  10, ch5=1393, ts=1714036832480821,	delta=843,
seq_no=187,	ch0= 277, ch1= 851, ch2=2587, ch3= 996, ch4=   0, ch5=1255, ts=1714036832481662,	delta=841,
seq_no=188,	ch0= 567, ch1= 569, ch2=2598, ch3=1216, ch4=   0, ch5=1088, ts=1714036832482505,	delta=843,
seq_no=189,	ch0= 859, ch1= 378, ch2=2550, ch3=1380, ch4=   0, ch5= 787, ts=1714036832483373,	delta=868,
seq_no=190,	ch0=1260, ch1=  77, ch2=2419, ch3=1480, ch4=  66, ch5= 615, ts=1714036832484205,	delta=832,
seq_no=191,	ch0=1472, ch1=   1, ch2=2191, ch3=1548, ch4= 222, ch5= 437, ts=1714036832485044,	delta=839,
seq_no=192,	ch0=1756, ch1=   2, ch2=1904, ch3=1591, ch4= 397, ch5= 267, ts=1714036832485884,	delta=840,
seq_no=193,	ch0=1996, ch1=   5, ch2=1583, ch3=1585, ch4= 613, ch5= 154, ts=1714036832486737,	delta=853,
seq_no=194,	ch0=2187, ch1= 157, ch2=1219, ch3=1486, ch4= 820, ch5=  42, ts=1714036832487568,	delta=831,
seq_no=195,	ch0=2313, ch1= 363, ch2= 893, ch3=1347, ch4= 980, ch5=   0, ts=1714036832488411,	delta=843,
seq_no=196,	ch0=2328, ch1= 635, ch2= 539, ch3=1134, ch4=1124, ch5=  40, ts=1714036832489253,	delta=842,
seq_no=197,	ch0=2265, ch1= 891, ch2= 287, ch3= 892, ch4=1289, ch5=   0, ts=1714036832490092,	delta=839,
seq_no=198,	ch0=2098, ch1=1248, ch2=  69, ch3= 723, ch4=1340, ch5=  86, ts=1714036832490983,	delta=891,
seq_no=199,	ch0=1923, ch1=1606, ch2=  29, ch3= 468, ch4=1383, ch5= 233, ts=1714036832491798,	delta=815,
seq_no=200,	ch0=1702, ch1=1871, ch2=   0, ch3= 324, ch4=1395, ch5= 375, ts=1714036832492629,	delta=831,
seq_no=201,	ch0=1388, ch1=2080, ch2=   0, ch3= 187, ch4=1290, ch5= 664, ts=1714036832493470,	delta=841,
seq_no=202,	ch0=1049, ch1=2300, ch2= 162, ch3=  64, ch4=1268, ch5= 887, ts=1714036832494312,	delta=842,
seq_no=203,	ch0= 761, ch1=2402, ch2= 414, ch3=   0, ch4=1110, ch5=1064, ts=1714036832495164,	delta=852,
seq_no=204,	ch0= 471, ch1=2417, ch2= 717, ch3=   0, ch4= 919, ch5=1223, ts=1714036832495994,	delta=830,
seq_no=205,	ch0= 226, ch1=2355, ch2=1058, ch3=   0, ch4= 716, ch5=1358, ts=1714036832496838,	delta=844,
seq_no=206,	ch0=  45, ch1=2182, ch2=1391, ch3=  69, ch4= 522, ch5=1456, ts=1714036832497678,	delta=840,
seq_no=207,	ch0=   0, ch1=1970, ch2=1734, ch3= 228, ch4= 356, ch5=1505, ts=1714036832498521,	delta=843,
