seq_no=169,	ch0=  17, ch1=2528, ch2=1786, ch3= 152, ch4= 228, ch5=   2, ts=1713174155851674,	delta=831,
seq_no=170,	ch0= 257, ch1=2543, ch2=1312, ch3= 193, ch4= 224, ch5=   0, ts=1713174155852567,	delta=893,
seq_no=171,	ch0= 576, ch1=2543, ch2= 866, ch3= 227, ch4= 186, ch5=   0, ts=1713174155853368,	delta=801,
seq_no=172,	ch0= 948, ch1=2555, ch2= 432, ch3= 253, ch4= 148, ch5=  86, ts=1713174155854207,	delta=839,
seq_no=173,	ch0=1351, ch1=2542, ch2= 136, ch3= 268, ch4= 105, ch5=  66, ts=1713174155855055,	delta=848,
seq_no=174,	ch0=1796, ch1=2510, ch2=   6, ch3= 273, ch4=  71, ch5=   0, ts=1713174155855885,	delta=830,
seq_no=175,	ch0=2149, ch1=2509, ch2=   0, ch3= 279, ch4=  45, ch5=  18, ts=1713174155856729,	delta=844,
seq_no=176,	ch0=2391, ch1=2151, ch2=   0, ch3= 313, ch4=  36, ch5=  42, ts=1713174155857570,	delta=841,
seq_no=177,	ch0=2437, ch1=1691, ch2=  42, ch3= 290, ch4=   0, ch5=  97, ts=1713174155858412,	delta=842,
seq_no=178,	ch0=2447, ch1=1112, ch2= 313, ch3= 254, ch4=  65, ch5= 166, ts=1713174155859263,	delta=851,
seq_no=179,	ch0=2463, ch1= 797, ch2= 682, ch3= 234, ch4=   0, ch5= 210, ts=1713174155860096,	delta=833,
seq_no=180,	ch0=2463, ch1= 439, ch2=1105, ch3= 184, ch4=   0, ch5= 239, ts=1713174155860939,	delta=843,
seq_no=181,	ch0=2439, ch1= 141, ch2=1572, ch3= 144, ch4=   4, ch5= 256, ts=1713174155861783,	delta=844,
seq_no=182,	ch0=2393, ch1=  25, ch2=2028, ch3=  94, ch4=  13, ch5= 264, ts=1713174155862668,	delta=885,
seq_no=183,	ch0=2295, ch1=  10, ch2=2471, ch3=  64, ch4=  43, ch5= 269, ts=1713174155863474,	delta=806,
seq_no=184,	ch0=1893, ch1=  11, ch2=2648, ch3=  13, ch4=  91, ch5= 269, ts=1713174155864312,	delta=838,
