seq_no=183,	ch0= 397, ch1=1015, ch2=2718, ch3=  10, ch4= 591, ch5= 427, ts=1713174384801876,	delta=842,
seq_no=184,	ch0= 103, ch1=1441, ch2=2704, ch3=  29, ch4= 630, ch5= 314, ts=1713174384802725,	delta=849,
seq_no=185,	ch0=   0, ch1=1864, ch2=2680, ch3=  90, ch4= 697, ch5= 237, ts=1713174384803563,	delta=838,
seq_no=186,	ch0=   0, ch1=2290, ch2=2591, ch3= 170, ch4= 682, ch5= 125, ts=1713174384804403,	delta=840,
seq_no=187,	ch0=   0, ch1=2461, ch2=2096, ch3= 273, ch4= 650, ch5= 156, ts=1713174384805245,	delta=842,
seq_no=188,	ch0=  38, ch1=2531, ch2=1734, ch3= 392, ch4= 624, ch5=  25, ts=1713174384806085,	delta=840,
seq_no=189,	ch0= 296, ch1=2550, ch2=1251, ch3= 493, ch4= 568, ch5=   2, ts=1713174384806938,	delta=853,
seq_no=190,	ch0= 629, ch1=2557, ch2= 811, ch3= 569, ch4= 486, ch5=  13, ts=1713174384807775,	delta=837,
seq_no=191,	ch0=1012, ch1=2547, ch2= 430, ch3= 633, ch4= 395, ch5=   4, ts=1713174384808616,	delta=841,
seq_no=192,	ch0=1416, ch1=2535, ch2=  96, ch3= 684, ch4= 295, ch5=  30, ts=1713174384809460,	delta=844,
seq_no=193,	ch0=1871, ch1=2505, ch2=  13, ch3= 711, ch4= 192, ch5=  89, ts=1713174384810301,	delta=841,
seq_no=194,	ch0=2159, ch1=2384, ch2=  10, ch3= 764, ch4= 109, ch5= 187, ts=1713174384811151,	delta=850,
seq_no=195,	ch0=2400, ch1=1991, ch2=   4, ch3= 694, ch4=  64, ch5= 269, ts=1713174384811985,	delta=834,
seq_no=196,	ch0=2438, ch1=1606, ch2=  89, ch3= 683, ch4=   0, ch5= 373, ts=1713174384812829,	delta=844,
seq_no=197,	ch0=2456, ch1=1120, ch2= 497, ch3= 631, ch4=   0, ch5= 465, ts=1713174384813671,	delta=842,
seq_no=198,	ch0=2459, ch1= 740, ch2= 789, ch3= 550, ch4=   8, ch5= 538, ts=1713174384814553,	delta=882,
seq_no=199,	ch0=2447, ch1= 377, ch2=1144, ch3= 459, ch4=   0, ch5= 652, ts=1713174384815456,	delta=903,
seq_no=200,	ch0=2438, ch1=  96, ch2=1623, ch3= 349, ch4=  24, ch5= 660, ts=1713174384816229,	delta=773,
seq_no=201,	ch0=2400, ch1=  20, ch2=2082, ch3= 257, ch4=  82, ch5= 682, ts=1713174384817056,	delta=827,
seq_no=202,	ch0=2243, ch1=  14, ch2=2521, ch3= 166, ch4= 164, ch5= 681, ts=1713174384817891,	delta=835,
seq_no=203,	ch0=1859, ch1=  28, ch2=2656, ch3= 105, ch4= 262, ch5= 666, ts=1713174384818744,	delta=853,
seq_no=204,	ch0=1457, ch1= 102, ch2=2700, ch3=  64, ch4= 364, ch5= 627, ts=1713174384819575,	delta=831,
seq_no=205,	ch0=1042, ch1= 360, ch2=2723, ch3=  17, ch4= 443, ch5= 576, ts=1713174384820416,	delta=841,
seq_no=206,	ch0= 632, ch1= 736, ch2=2730, ch3=  21, ch4= 533, ch5= 488, ts=1713174384821258,	delta=842,
seq_no=207,	ch0= 311, ch1=1142, ch2=2718, ch3=  16, ch4= 587, ch5= 397, ts=1713174384822100,	delta=842,
