seq_no=134,	ch0= 694, ch1= 424, ch2=   0, ch3= 162, ch4= 380, ch5=  29, ts=1714038097096029,	delta=780,
seq_no=135,	ch0= 608, ch1= 525, ch2=   0, ch3= 102, ch4= 391, ch5=  77, ts=1714038097096867,	delta=838,
seq_no=136,	ch0= 537, ch1= 625, ch2=   0, ch3=  57, ch4= 378, ch5= 106, ts=1714038097097704,	delta=837,
seq_no=137,	ch0= 432, ch1= 682, ch2=   0, ch3=  22, ch4= 354, ch5= 195, ts=1714038097098545,	delta=841,
seq_no=138,	ch0= 308, ch1= 749, ch2=  52, ch3=   1, ch4= 314, ch5= 254, ts=1714038097099398,	delta=853,
seq_no=139,	ch0= 214, ch1= 791, ch2= 148, ch3=   0, ch4= 285, ch5= 313, ts=1714038097100235,	delta=837,
seq_no=140,	ch0= 121, ch1= 812, ch2= 306, ch3=   0, ch4= 242, ch5= 352, ts=1714038097101071,	delta=836,
seq_no=141,	ch0=  42, ch1= 864, ch2= 342, ch3=  25, ch4= 180, ch5= 352, ts=1714038097101913,	delta=842,
seq_no=142,	ch0=   9, ch1= 653, ch2= 473, ch3=  21, ch4=  28, ch5= 409, ts=1714038097102766,	delta=853,
seq_no=143,	ch0=   0, ch1= 626, ch2= 578, ch3=  68, ch4=  77, ch5= 427, ts=1714038097103598,	delta=832,
seq_no=144,	ch0=   0, ch1= 533, ch2= 675, ch3= 130, ch4=  35, ch5= 418, ts=1714038097104440,	delta=842,
seq_no=145,	ch0=   0, ch1= 434, ch2= 773, ch3= 192, ch4=   0, ch5= 400, ts=1714038097105285,	delta=845,
seq_no=146,	ch0=  50, ch1= 325, ch2= 832, ch3= 250, ch4=   0, ch5= 373, ts=1714038097106123,	delta=838,
seq_no=147,	ch0= 125, ch1= 229, ch2= 858, ch3= 308, ch4=   0, ch5= 327, ts=1714038097106975,	delta=852,
seq_no=148,	ch0= 192, ch1= 119, ch2= 850, ch3= 417, ch4=   0, ch5= 267, ts=1714038097107809,	delta=834,
seq_no=149,	ch0= 306, ch1=  50, ch2= 832, ch3= 385, ch4=   0, ch5= 186, ts=1714038097108649,	delta=840,
seq_no=150,	ch0= 422, ch1=   0, ch2= 711, ch3= 428, ch4=  26, ch5= 213, ts=1714038097109491,	delta=842,
