seq_no=186,	ch0=2299, ch1= 818, ch2= 375, ch3= 181, ch4= 239, ch5=   0, ts=1714036591119351,	delta=862,
seq_no=187,	ch0=2195, ch1=1134, ch2= 134, ch3= 138, ch4= 246, ch5=   1, ts=1714036591120179,	delta=828,
seq_no=188,	ch0=2015, ch1=1459, ch2=   0, ch3=  96, ch4= 257, ch5=  18, ts=1714036591121017,	delta=838,
seq_no=189,	ch0=1767, ch1=1759, ch2=   0, ch3=  55, ch4= 267, ch5=  51, ts=1714036591121859,	delta=842,
seq_no=190,	ch0=1475, ch1=2016, ch2=   0, ch3=  29, ch4= 257, ch5= 100, ts=1714036591122709,	delta=850,
seq_no=191,	ch0=1183, ch1=2224, ch2= 101, ch3=   4, ch4= 239, ch5= 136, ts=1714036591123542,	delta=833,
seq_no=192,	ch0= 867, ch1=2368, ch2= 315, ch3=   0, ch4= 218, ch5= 186, ts=1714036591124383,	delta=841,
seq_no=193,	ch0= 565, ch1=2423, ch2= 601, ch3=   0, ch4= 182, ch5= 233, ts=1714036591125224,	delta=841,
seq_no=194,	ch0= 307, ch1=2381, ch2=1018, ch3=   0, ch4= 164, ch5= 266, ts=1714036591126067,	delta=843,
seq_no=195,	ch0=  74, ch1=2379, ch2=1269, ch3=  16, ch4=  93, ch5= 196, ts=1714036591126917,	delta=850,
seq_no=196,	ch0=   0, ch1=2009, ch2=1629, ch3=  58, ch4= 107, ch5= 257, ts=1714036591127752,	delta=835,
seq_no=197,	ch0=   0, ch1=1809, ch2=1945, ch3=  79, ch4=  26, ch5= 273, ts=1714036591128593,	delta=841,
seq_no=198,	ch0=   0, ch1=1507, ch2=2216, ch3= 133, ch4=   5, ch5= 269, ts=1714036591129476,	delta=883,
seq_no=199,	ch0=  82, ch1=1183, ch2=2431, ch3= 186, ch4=   0, ch5= 246, ts=1714036591130291,	delta=815,
seq_no=200,	ch0= 279, ch1= 863, ch2=2573, ch3= 218, ch4=   0, ch5= 225, ts=1714036591131141,	delta=850,
seq_no=201,	ch0= 528, ch1= 567, ch2=2607, ch3= 254, ch4=   0, ch5= 192, ts=1714036591131968,	delta=827,
seq_no=202,	ch0= 778, ch1= 311, ch2=2568, ch3= 333, ch4=   0, ch5= 141, ts=1714036591132805,	delta=837,
seq_no=203,	ch0=1116, ch1= 111, ch2=2436, ch3= 305, ch4=   2, ch5=  96, ts=1714036591133648,	delta=843,
seq_no=204,	ch0=1432, ch1=   0, ch2=2187, ch3= 327, ch4=  33, ch5= 117, ts=1714036591134488,	delta=840,
seq_no=205,	ch0=1719, ch1=  50, ch2=1931, ch3= 329, ch4=  67, ch5=  24, ts=1714036591135336,	delta=848,
seq_no=206,	ch0=1985, ch1=   0, ch2=1598, ch3= 310, ch4=  37, ch5=   0, ts=1714036591136176,	delta=840,
seq_no=207,	ch0=2107, ch1= 101, ch2=1288, ch3= 330, ch4= 142, ch5=  34, ts=1714036591137012,	delta=836,
