seq_no=184,	ch0=1002, ch1=1291, ch2=   9, ch3=  93, ch4= 484, ch5= 158, ts=1714036287989357,	delta=842,
seq_no=185,	ch0= 820, ch1=1440, ch2= 102, ch3=  20, ch4= 462, ch5= 244, ts=1714036287990198,	delta=841,
seq_no=186,	ch0= 626, ch1=1560, ch2= 130, ch3=   0, ch4= 418, ch5= 245, ts=1714036287991049,	delta=851,
seq_no=187,	ch0= 430, ch1=1545, ch2= 320, ch3=   0, ch4= 405, ch5= 366, ts=1714036287991881,	delta=832,
seq_no=188,	ch0= 309, ch1=1590, ch2= 560, ch3=   0, ch4= 272, ch5= 435, ts=1714036287992725,	delta=844,
seq_no=189,	ch0=  90, ch1=1525, ch2= 781, ch3=   0, ch4= 207, ch5= 465, ts=1714036287993568,	delta=843,
seq_no=190,	ch0=   0, ch1=1408, ch2=1012, ch3=  48, ch4= 146, ch5= 482, ts=1714036287994410,	delta=842,
seq_no=191,	ch0=   0, ch1=1255, ch2=1229, ch3= 106, ch4=  83, ch5= 487, ts=1714036287995259,	delta=849,
seq_no=192,	ch0=   0, ch1=1053, ch2=1431, ch3= 182, ch4=  36, ch5= 488, ts=1714036287996092,	delta=833,
seq_no=193,	ch0=  25, ch1= 839, ch2=1576, ch3= 275, ch4=   2, ch5= 466, ts=1714036287996939,	delta=847,
seq_no=194,	ch0= 137, ch1= 626, ch2=1684, ch3= 333, ch4=   0, ch5= 416, ts=1714036287997779,	delta=840,
seq_no=195,	ch0= 292, ch1= 425, ch2=1743, ch3= 402, ch4=   0, ch5= 342, ts=1714036287998656,	delta=877,
seq_no=196,	ch0= 489, ch1= 226, ch2=1728, ch3= 467, ch4=   0, ch5= 284, ts=1714036287999464,	delta=808,
seq_no=197,	ch0= 678, ch1= 109, ch2=1657, ch3= 506, ch4=  13, ch5= 224, ts=1714036288000306,	delta=842,
seq_no=198,	ch0= 892, ch1=   0, ch2=1590, ch3= 530, ch4=  57, ch5= 162, ts=1714036288001182,	delta=876,
seq_no=199,	ch0=1155, ch1=   0, ch2=1300, ch3= 549, ch4= 111, ch5=   0, ts=1714036288002005,	delta=823,
seq_no=200,	ch0=1242, ch1=   0, ch2=1112, ch3= 536, ch4= 272, ch5=  21, ts=1714036288002853,	delta=848,
seq_no=201,	ch0=1473, ch1=  36, ch2= 892, ch3= 516, ch4= 247, ch5=   0, ts=1714036288003680,	delta=827,
seq_no=202,	ch0=1507, ch1= 168, ch2= 663, ch3= 467, ch4= 320, ch5=   0, ts=1714036288004518,	delta=838,
seq_no=203,	ch0=1549, ch1= 335, ch2= 448, ch3= 398, ch4= 373, ch5=   0, ts=1714036288005360,	delta=842,
seq_no=204,	ch0=1527, ch1= 534, ch2= 253, ch3= 328, ch4= 434, ch5=   0, ts=1714036288006202,	delta=842,
seq_no=205,	ch0=1449, ch1= 741, ch2= 105, ch3= 250, ch4= 471, ch5=  10, ts=1714036288007058,	delta=856,
seq_no=206,	ch0=1344, ch1= 964, ch2=   0, ch3= 181, ch4= 490, ch5=  53, ts=1714036288007889,	delta=831,
seq_no=207,	ch0=1177, ch1=1168, ch2=  25, ch3= 105, ch4= 511, ch5= 121, ts=1714036288008727,	delta=838,
