seq_no=159,	ch0= 654, ch1= 433, ch2=2607, ch3=1430, ch4=   0, ch5=1042, ts=1714036872204599,	delta=712,
seq_no=160,	ch0= 972, ch1= 227, ch2=2565, ch3=1549, ch4=  48, ch5= 790, ts=1714036872205421,	delta=822,
seq_no=161,	ch0=1300, ch1= 118, ch2=2330, ch3=1710, ch4= 166, ch5= 544, ts=1714036872206250,	delta=829,
seq_no=162,	ch0=1700, ch1=   0, ch2=2058, ch3=1736, ch4= 281, ch5= 403, ts=1714036872207107,	delta=857,
seq_no=163,	ch0=1868, ch1=   0, ch2=1769, ch3=1767, ch4= 549, ch5= 249, ts=1714036872208293,	delta=1186,
seq_no=164,	ch0=2078, ch1=  50, ch2=1438, ch3=1728, ch4= 782, ch5= 107, ts=1714036872208815,	delta=522,
seq_no=165,	ch0=2248, ch1= 228, ch2=1080, ch3=1607, ch4= 994, ch5=  19, ts=1714036872209634,	delta=819,
seq_no=166,	ch0=2322, ch1= 474, ch2= 740, ch3=1390, ch4=1174, ch5=   2, ts=1714036872210468,	delta=834,
seq_no=167,	ch0=2319, ch1= 748, ch2= 448, ch3=1162, ch4=1306, ch5=   0, ts=1714036872211309,	delta=841,
seq_no=168,	ch0=2240, ch1=1065, ch2= 174, ch3= 891, ch4=1432, ch5=  11, ts=1714036872212152,	delta=843,
seq_no=169,	ch0=2058, ch1=1364, ch2=   5, ch3= 668, ch4=1526, ch5= 160, ts=1714036872212994,	delta=842,
seq_no=170,	ch0=1832, ch1=1677, ch2=   1, ch3= 474, ch4=1565, ch5= 378, ts=1714036872213834,	delta=840,
seq_no=171,	ch0=1559, ch1=1976, ch2=   1, ch3= 301, ch4=1569, ch5= 587, ts=1714036872214681,	delta=847,
seq_no=172,	ch0=1266, ch1=2200, ch2=  21, ch3= 177, ch4=1530, ch5= 874, ts=1714036872215521,	delta=840,
seq_no=173,	ch0= 924, ch1=2272, ch2= 255, ch3=  64, ch4=1412, ch5=1035, ts=1714036872216366,	delta=845,
seq_no=174,	ch0= 542, ch1=2404, ch2= 514, ch3=  41, ch4=1159, ch5=1238, ts=1714036872217203,	delta=837,
seq_no=175,	ch0= 375, ch1=2410, ch2= 850, ch3=   0, ch4= 952, ch5=1378, ts=1714036872218046,	delta=843,
seq_no=176,	ch0= 150, ch1=2307, ch2=1200, ch3=   0, ch4= 722, ch5=1486, ts=1714036872218896,	delta=850,
seq_no=177,	ch0=   0, ch1=2112, ch2=1539, ch3= 142, ch4= 514, ch5=1581, ts=1714036872219735,	delta=839,
seq_no=178,	ch0=   0, ch1=1870, ch2=1858, ch3= 360, ch4= 348, ch5=1616, ts=1714036872220574,	delta=839,
seq_no=179,	ch0=   0, ch1=1584, ch2=2156, ch3= 594, ch4= 199, ch5=1615, ts=1714036872221416,	delta=842,
seq_no=180,	ch0=  77, ch1=1271, ch2=2380, ch3= 864, ch4=  82, ch5=1496, ts=1714036872222260,	delta=844,
seq_no=181,	ch0= 231, ch1= 918, ch2=2555, ch3=1090, ch4=   0, ch5=1389, ts=1714036872223109,	delta=849,
seq_no=182,	ch0= 449, ch1= 637, ch2=2595, ch3=1324, ch4=   0, ch5=1196, ts=1714036872223943,	delta=834,
seq_no=183,	ch0= 748, ch1= 362, ch2=2638, ch3=1435, ch4=   0, ch5= 972, ts=1714036872224786,	delta=843,
seq_no=184,	ch0=1103, ch1= 151, ch2=2448, ch3=1585, ch4=  27, ch5= 656, ts=1714036872225628,	delta=842,
seq_no=185,	ch0=1382, ch1=   0, ch2=2266, ch3=1691, ch4= 117, ch5= 508, ts=1714036872226470,	delta=842,
seq_no=186,	ch0=1609, ch1=   0, ch2=2012, ch3=1773, ch4= 385, ch5= 356, ts=1714036872227320,	delta=850,
seq_no=187,	ch0=1923, ch1=   0, ch2=1686, ch3=1768, ch4= 605, ch5= 220, ts=1714036872228156,	delta=836,
seq_no=188,	ch0=2140, ch1=  91, ch2=1346, ch3=1704, ch4= 847, ch5=  92, ts=1714036872229002,	delta=846,
seq_no=189,	ch0=2272, ch1= 282, ch2= 992, ch3=1555, ch4=1044, ch5=   8, ts=1714036872229842,	delta=840,
seq_no=190,	ch0=2323, ch1= 539, ch2= 663, ch3=1344, ch4=1216, ch5=   0, ts=1714036872230694,	delta=852,
seq_no=191,	ch0=2304, ch1= 832, ch2= 377, ch3=1091, ch4=1336, ch5=   0, ts=1714036872231527,	delta=833,
seq_no=192,	ch0=2192, ch1=1139, ch2= 136, ch3= 818, ch4=1462, ch5=  38, ts=1714036872232371,	delta=844,
seq_no=193,	ch0=1996, ch1=1472, ch2=   0, ch3= 610, ch4=1536, ch5= 206, ts=1714036872233215,	delta=844,
seq_no=194,	ch0=1752, ch1=1769, ch2=   0, ch3= 419, ch4=1577, ch5= 415, ts=1714036872234054,	delta=839,
seq_no=195,	ch0=1495, ch1=2025, ch2=   0, ch3= 264, ch4=1561, ch5= 681, ts=1714036872234906,	delta=852,
seq_no=196,	ch0=1184, ch1=2187, ch2= 104, ch3= 153, ch4=1510, ch5= 860, ts=1714036872235739,	delta=833,
seq_no=197,	ch0= 790, ch1=2374, ch2= 348, ch3=  64, ch4=1323, ch5=1125, ts=1714036872236585,	delta=846,
seq_no=198,	ch0= 582, ch1=2409, ch2= 710, ch3=   0, ch4=1125, ch5=1261, ts=1714036872237464,	delta=879,
seq_no=199,	ch0= 310, ch1=2392, ch2= 935, ch3=   0, ch4= 889, ch5=1412, ts=1714036872238333,	delta=869,
seq_no=200,	ch0= 103, ch1=2259, ch2=1271, ch3=  31, ch4= 653, ch5=1511, ts=1714036872239136,	delta=803,
