seq_no=185,	ch0=   0, ch1=1227, ch2=2344, ch3= 376, ch4=  94, ch5= 698, ts=1714036671573410,	delta=842,
seq_no=186,	ch0= 249, ch1= 979, ch2=2541, ch3= 521, ch4=   0, ch5= 665, ts=1714036671574251,	delta=841,
seq_no=187,	ch0= 413, ch1= 688, ch2=2599, ch3= 601, ch4=   0, ch5= 583, ts=1714036671575102,	delta=851,
seq_no=188,	ch0= 704, ch1= 421, ch2=2590, ch3= 693, ch4=   0, ch5= 476, ts=1714036671575937,	delta=835,
seq_no=189,	ch0=1004, ch1= 174, ch2=2507, ch3= 758, ch4=   8, ch5= 357, ts=1714036671576779,	delta=842,
seq_no=190,	ch0=1320, ch1=   9, ch2=2314, ch3= 818, ch4=  86, ch5= 245, ts=1714036671577621,	delta=842,
seq_no=191,	ch0=1603, ch1=   0, ch2=2055, ch3= 844, ch4= 176, ch5= 165, ts=1714036671578463,	delta=842,
seq_no=192,	ch0=1876, ch1=   0, ch2=1735, ch3= 842, ch4= 274, ch5=  87, ts=1714036671579311,	delta=848,
seq_no=193,	ch0=2088, ch1= 162, ch2=1383, ch3= 805, ch4= 392, ch5=   4, ts=1714036671580151,	delta=840,
seq_no=194,	ch0=2254, ch1= 234, ch2=1048, ch3= 730, ch4= 454, ch5=   0, ts=1714036671580991,	delta=840,
seq_no=195,	ch0=2278, ch1= 487, ch2= 725, ch3= 681, ch4= 571, ch5=   0, ts=1714036671581832,	delta=841,
seq_no=196,	ch0=2290, ch1= 804, ch2= 418, ch3= 517, ch4= 656, ch5=   0, ts=1714036671582681,	delta=849,
seq_no=197,	ch0=2272, ch1=1108, ch2= 128, ch3= 413, ch4= 736, ch5=  64, ts=1714036671583517,	delta=836,
seq_no=198,	ch0=2032, ch1=1328, ch2=   0, ch3= 285, ch4= 817, ch5=  79, ts=1714036671584396,	delta=879,
seq_no=199,	ch0=1829, ch1=1712, ch2=   0, ch3= 192, ch4= 765, ch5= 171, ts=1714036671585220,	delta=824,
seq_no=200,	ch0=1534, ch1=1985, ch2=   0, ch3= 115, ch4= 760, ch5= 272, ts=1714036671586055,	delta=835,
seq_no=201,	ch0=1228, ch1=2201, ch2=  81, ch3=  49, ch4= 711, ch5= 389, ts=1714036671586907,	delta=852,
seq_no=202,	ch0= 914, ch1=2352, ch2= 281, ch3=   5, ch4= 647, ch5= 502, ts=1714036671587735,	delta=828,
seq_no=203,	ch0= 616, ch1=2417, ch2= 545, ch3=   0, ch4= 560, ch5= 595, ts=1714036671588572,	delta=837,
seq_no=204,	ch0= 354, ch1=2400, ch2= 884, ch3=   0, ch4= 440, ch5= 673, ts=1714036671589417,	delta=845,
seq_no=205,	ch0= 130, ch1=2295, ch2=1216, ch3=  12, ch4= 330, ch5= 716, ts=1714036671590260,	delta=843,
seq_no=206,	ch0=   0, ch1=2115, ch2=1568, ch3=  93, ch4= 236, ch5= 740, ts=1714036671591109,	delta=849,
seq_no=207,	ch0=   0, ch1=1852, ch2=1899, ch3= 179, ch4= 139, ch5= 767, ts=1714036671591942,	delta=833,
